編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLMLHGGFAI28DA,17,14.13,共有部份,鋼筋混凝土造,83年2月3日,十二層,
RPTNMLTLLHGGFAI58DA,47,61.20,住家用,鋼筋混凝土加強磚造,62年10月30日,二層,一層 二層
RPUNMLKKLHGGFAI67DA,39,123.08,住商用,鋼筋混凝土加強磚造,71年5月7日,二層,一層 二層 騎樓
RPPNMLLMLHGGFAI47DA,37,72.39,住商用,鋼筋混凝土造,73年1月27日,三層,一層 二層 三層
RPWOMLLMLHGGFAI28DA,27,118.93,住家用,鋼筋混凝土造,83年7月4日,十二層,九層
RPWOMLLMLHGGFAI28DA,27,10.78,共有部份,鋼筋混凝土造,83年7月4日,十二層,
RPWOMLLMLHGGFAI28DA,27,23.79,共有部份,鋼筋混凝土造,83年7月4日,十二層,
RPSNMLRJMHGGFAI18DA,24,76.95,住家用,鋼筋混凝土造,86年5月29日,十三層,六層
RPSNMLRJMHGGFAI18DA,24,28.46,共有部份,鋼筋混凝土造,86年5月29日,十三層,
RPOPMLRJMHGGFAI97DA,26,93.66,商業用,鋼筋混凝土造,83年12月19日,十二層,三層
RPOPMLRJMHGGFAI97DA,26,26.58,共有部份,鋼筋混凝土造,83年12月19日,十二層,
RPWNMLSJMHGGFAI68DA,10,257.31,見其他登記事項,見其他登記事項,99年11月2日,四層,一層 二層 三層 四層
RPTNMLMJMHGGFAI77DA,,206.04,見其他登記事項,見其他登記事項,110年1月5日,三層,一層 二層 三層 見其他登記事項
RPUNMLRJMHGGFAI38DA,28,5.02,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPUNMLRJMHGGFAI38DA,28,6.59,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPUNMLRJMHGGFAI38DA,28,30.71,住家用,鋼筋混凝土造,82年6月9日,十六層,九層
RPOOMLQJMHGGFAI87EA,,281.64,見其他登記事項,見其他登記事項,109年11月24日,四層,一層 二層 三層 四層 見其他登記事項
RPOOMLQJMHGGFAI87EA,,.91,見其他登記事項,見其他登記事項,109年11月24日,一層,
RPRNMLQJMHGGFAI97DA,47,66.76,住家用,木造,62年12月18日,二層,一層 二層
RPPOMLQJMHGGFAI97EA,,279.80,見其他登記事項,見其他登記事項,109年11月24日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLQJMHGGFAI97EA,,.91,見其他登記事項,見其他登記事項,109年11月24日,一層,
RPXNMLQJMHGGFAI68EA,,281.11,見其他登記事項,見其他登記事項,109年11月24日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLQJMHGGFAI68EA,,.03,見其他登記事項,見其他登記事項,109年11月24日,一層,
RPQOMLQJMHGGFAI08EA,,279.70,見其他登記事項,見其他登記事項,109年11月24日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLQJMHGGFAI08EA,,.91,見其他登記事項,見其他登記事項,109年11月24日,一層,
