編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLQJMHGGFKD68DA,2,46.59,見其他登記事項,見其他登記事項,107年12月14日,十八層,
RPPNMLRJMHGGFKD38DA,27,28.11,共有部分,鋼筋混凝土造,83年2月4日,十五層,
RPPNMLRJMHGGFKD38DA,27,86.16,住家用,鋼筋混凝土造,83年2月4日,十五層,十三層
RPQNMLRJMHGGFKD48DA,27,87.55,住家用,鋼筋混凝土造,83年1月26日,八層,五層
RPQNMLRJMHGGFKD48DA,27,37.70,共有部分,鋼筋混凝土造,83年1月26日,八層,
RPQPMLRJMHGGFKD68DA,31,20.54,共有部分,鋼筋混凝土造,79年3月17日,十六層,
RPQPMLRJMHGGFKD68DA,31,207.51,見其他登記事項,鋼筋混凝土造,79年3月17日,十六層,六層
RPQPMLRJMHGGFKD68DA,31,57.85,共有部分,鋼筋混凝土造,79年3月17日,十六層,
RPQOMLRJMHGGFKD58DA,22,41.31,住家用,鋼筋混凝土造,88年3月17日,十一層,九層
RPQOMLRJMHGGFKD58DA,22,17.58,共有部分,鋼筋混凝土造,88年3月17日,十一層,
RPQOMLRJMHGGFKD58DA,22,7.07,共有部分,鋼筋混凝土造,88年3月17日,十一層,
RPQPMLQJMHGGFBD77EA,35,181.07,住家用,加強磚造,74年11月4日,二層,一層 二層
RPQNMLLMLHGGFKD08DA,3,58.09,住家用,見其他登記事項,106年11月14日,十六層,七層
RPQNMLLMLHGGFKD08DA,3,29.60,見其他登記事項,見其他登記事項,106年11月14日,十六層,
RPVOMLQJMHGGFKD98DA,24,24.78,共有部分,鋼筋混凝土造,85年11月6日,二十六層,
RPVOMLQJMHGGFKD98DA,24,2.80,共有部分,鋼筋混凝土造,85年11月6日,二十六層,
RPVOMLQJMHGGFKD98DA,24,21.77,共有部分,鋼筋混凝土造,85年11月6日,二十六層,
RPVOMLQJMHGGFKD98DA,24,.32,見其他登記事項,鋼筋混凝土造,85年11月6日,二十六層,地下一層
RPVOMLQJMHGGFKD98DA,24,108.95,住家用,鋼筋混凝土造,85年11月6日,二十六層,三層 四層
RPROMLRJMHGGFCD97EA,31,24.14,住家用,鋼筋混凝土造,78年11月14日,五層,五層
RPROMLRJMHGGFCD97EA,31,7.03,共有部分,鋼筋混凝土造,78年11月14日,五層,
RPSNMLSJMHGGFAD87EA,47,138.85,住家用,加強磚造,63年6月24日,二層,一層 二層 走廊
