鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,建物,新北市汐止區大同路二段211~240號,0.0,其他,,,1100304,土地0建物1車位0,九層,24,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0850710,37.51,1,0,1,有,有,有,13000,347,,0.0,0,,RPVNMLTJLHGGFDF68CC
汐止區,建物,新北市汐止區大同路二段211~240號,0.0,其他,,,1100304,土地0建物1車位0,二十四層,24,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0850710,29.63,1,1,1,有,有,有,13000,439,,0.0,0,含增建或未登記建物。；,RPXNMLTJLHGGFDF88CC
汐止區,建物,新北市汐止區中興路151~180號,0.0,住,,,1100223,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050420,150.28,4,1,2,有,有,有,36000,240,坡道平面,27.22,0,租金含管理費。,RPTPMLTJLHGGFDF68CC
汐止區,建物,新北市汐止區湖前街77巷12弄1~30號,0.0,住,,,1100209,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,123.05,3,2,2,有,有,有,20000,163,,0.0,0,租金含管理費。,RPTQMLTJLHGGFDF78CC
新莊區,房地(土地+建物),新北市新莊區昌平街331~360號,33.12,商,,,1100209,土地1建物1車位0,全,4,透天厝,店舖,鋼骨構造,1011228,273.19,0,0,0,無,有,無,68000,249,,0.0,0,含管理費,RPXPMLTJLHGGFBF88CC
林口區,建物,新北市林口區文化三路二段41巷1~30號,0.0,住,,,1100221,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010823,212.75,4,2,2,有,有,有,30000,141,坡道平面,26.66,0,租金含管理費。,RPORMLTJLHGGFBF18CC
林口區,建物,新北市林口區文化北路一段542巷31~60號,0.0,住,,,1100223,土地0建物1車位1,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050520,137.6,3,2,1,有,有,有,28000,203,坡道平面,28.68,0,租金含管理費。,RPRRMLTJLHGGFBF48CC
新莊區,建物,新北市新莊區新北大道七段721~750號,0.0,住,,,1100223,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920619,86.45,2,2,1,有,有,有,22000,254,,0.0,0,租金含管理費。,RPSRMLTJLHGGFBF58CC
新莊區,建物,新北市新莊區新北大道七段691~720號,0.0,其他,,,1100223,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860214,101.75,3,1,2,有,有,有,16000,157,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為18099，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為16000。,RPURMLTJLHGGFBF78CC
林口區,建物,新北市林口區文化二路二段151~180號,0.0,商,,,1100223,土地0建物1車位2,十六層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001101,297.55,3,2,3,有,有,有,55000,185,坡道平面,43.04,0,租金含管理費。,RPXRMLTJLHGGFBF09CC
新莊區,建物,新北市新莊區復興路一段149巷21弄1~30號,0.0,住,,,1100223,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830901,113.03,3,2,2,有,有,無,21000,186,,0.0,0,,RPSSMLTJLHGGFBF68CC
三重區,建物,新北市三重區重新路二段61~90號,0.0,商,,,1100209,土地0建物0車位0,四層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0810716,28.040000000000003,1,0,1,有,無,有,10000,357,,0.0,0,此為分租套房，房號407，第4層分成11間，一間平均面積為28.04平方公尺,RPPQMLTJLHGGFGF68CC
三重區,建物,新北市三重區環河南路211~240號,0.0,住,,,1100209,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0660117,23.2,1,0,1,有,無,有,7900,341,,0.0,0,此為分租套房，房號202，第2層分成5間，一間平均面積為23.2平方公尺,RPQQMLTJLHGGFGF78CC
三重區,建物,新北市三重區重新路二段61~90號,0.0,商,,,1100209,土地0建物0車位0,四層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0810716,28.040000000000003,1,0,1,有,無,有,10000,357,,0.0,0,此為分租套房，房號405，第4層分成11間，一間平均面積為28.04平方公尺,RPRQMLTJLHGGFGF88CC
三重區,建物,新北市三重區重新路三段121~150號,0.0,其他,,,1100302,土地0建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1031226,77.66,1,1,1,有,有,無,26000,335,,0.0,0,,RPVQMLTJLHGGFGF66CC
三重區,建物,新北市三重區仁忠街31~60號,0.0,住,,,1100223,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720613,67.51,4,1,1,有,無,有,12000,178,,0.0,0,,RPPRMLTJLHGGFGF78CC
新店區,建物,新北市新店區安和路三段47巷1~30號,0.0,住,,,1100305,土地0建物1車位0,四層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831124,33.04,1,1,1,有,有,有,10000,303,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為 11469，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為10000。管理費另收500元。,RPROMLTJLHGGFCF28CC
新店區,建物,新北市新店區玫瑰路57巷31~60號,55.39,,,,1100222,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781207,132.34,4,2,3,有,有,無,27000,204,,0.0,0,,RPXOMLTJLHGGFCF88CC
新店區,建物,新北市新店區北新路一段151~180號,0.0,住,,,1100226,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691013,97.04,3,2,2,有,無,有,14500,149,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為24155，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為14500。,RPPPMLTJLHGGFCF18CC
新店區,房地(土地+建物)+車位,新北市新店區寶橋路235巷16弄1~30號,0.0,工,,,1100210,土地0建物1車位2,七層,8,廠辦,工業用,鋼筋混凝土造,0771105,335.78999999999996,0,0,0,無,有,無,74600,222,坡道平面,0.0,0,,RPRQMLTJLHGGFCF48CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1100305,土地0建物1車位0,十七層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,16722,276,,0.0,0,第一年至第八年第六個月之租金無優惠；自第八年第七個月起，每月月租金給予七折優惠，至租賃期間屆滿為止,RPTQMLTJLHGGFCF68CC
中和區,建物,新北市中和區景德街1~30號,0.0,,,,1100305,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1060120,39.32,1,1,1,有,有,有,14800,376,,0.0,0,,RPXOMLTJLHGGFHF76CC
永和區,建物,新北市永和區秀朗路一段61~90號,0.0,住,,,1100223,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851018,89.47,2,2,1,有,有,有,26000,291,,0.0,0,租金含管理費。,RPXQMLTJLHGGFHF96CC
八里區,建物,新北市八里區龍米路二段1~30號,0.0,住,,,1100226,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0850923,101.94,2,2,2,有,有,有,16000,157,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為16000。,RPXNMLTJLHGGFEF98CC
八里區,建物,新北市八里區龍米路一段181~210號,0.0,住,,,1100226,土地0建物1車位0,八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941205,57.730000000000004,1,0,1,有,有,有,11000,191,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為12222，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為11000。,RPROMLTJLHGGFEF48CC
淡水區,建物,新北市淡水區新市五路三段181~210號,0.0,商,,,1100218,土地0建物1車位0,十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,88.05,2,2,1,有,有,有,12300,140,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13667，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為12300。,RPSOMLTJLHGGFEF58CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段331巷61~90號,21.06,住,,,1100302,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031024,122.5,2,1,1,有,有,有,20000,163,坡道平面,26.54,0,,RPTOMLTJLHGGFEF68CC
淡水區,房地(土地+建物),新北市淡水區新民街121~150號,29.22,住,,,1100308,土地3建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680327,93.55,1,0,1,有,無,有,4000,43,,0.0,0,此為分租套房其中一室。租金包含網路第四台,RPVOMLTJLHGGFEF88CC
淡水區,建物,新北市淡水區新興街31~60號,0.0,住,,,1100308,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860204,117.6,3,2,2,有,有,有,16000,136,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為16000。,RPVPMLTJLHGGFEF98CC
淡水區,建物,新北市淡水區淡金路1~30號,0.0,商,,,1100223,土地0建物1車位1,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960827,261.03999999999996,3,2,2,有,有,有,28000,107,坡道平面,41.28,0,含機車車位。,RPOQMLTJLHGGFEF38CC
三峽區,房地(土地+建物)+車位,新北市三峽區大學路91~120號,44.57,住,,,1100305,土地1建物1車位1,見其他登記事項,10,店面(店鋪),店舖、辦公室,鋼筋混凝土造,1071018,168.87,1,1,2,有,有,無,50000,296,坡道平面,36.82,0,,RPTNMLTJLHGGFIF98CC
樹林區,建物,新北市樹林區學勤路331~360號,0.0,商,,,1100223,土地0建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971030,187.68,3,2,2,有,有,有,27000,144,坡道平面,39.83,0,租金含管理費。,RPOPMLTJLHGGFIF68CC
鶯歌區,建物,新北市鶯歌區鶯歌路91~120號,0.0,住,,,1100228,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080604,171.10000000000002,3,1,2,有,無,有,18000,105,坡道平面,46.15,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23263，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為18000。,RPSPMLTJLHGGFIF09CC
