交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,高雄市左營區文天路151~180號,1040316,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),19,129.3,2,2,2,有,有,3500000,27069,0,035
房地(土地+建物)+車位,文天路151~180號,1100116,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),24,129.3,3,2,2,有,有,6500000,50271,0,035
房地(土地+建物),高雄市楠梓區惠民路171巷2弄1~30號,1071021,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),39,73.23,4,2,2,有,無,4590000,62679,0,036
房地(土地+建物),惠民路171巷2弄1~30號,1100321,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),41,73.23,4,2,2,有,無,5800000,79203,0,036
房地(土地+建物)+車位,高雄市楠梓區瑞屏路61~90號,1040727,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),11,106.02000000000001,2,1,1,有,有,3810000,35937,0,037
房地(土地+建物)+車位,高雄市楠梓區瑞屏路61~90號,1061027,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),13,106.02000000000001,2,2,1,有,有,4250000,40087,0,037
房地(土地+建物)+車位,瑞屏路61~90號,1100227,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),16,106.02000000000001,2,2,1,有,有,5150000,48576,0,037
房地(土地+建物)+車位,新莊一路361~390號,1091109,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),21,158.3,3,2,2,有,有,7900000,49905,0,038
房地(土地+建物)+車位,新莊一路361~390號,1100209,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),21,158.3,3,2,2,有,有,9600000,60644,0,038
土地,成功段691~720地號,1070907,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,3000000,13541,0,039
土地,成功段691~720地號,1081107,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,9152138,36301,0,039
土地,成功段691~720地號,1090707,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3660855,36300,0,039
土地,成功段691~720地號,1090707,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4576069,36301,0,039
土地,成功段691~720地號,1100207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4576069,36301,0,039
土地,石螺段1801~1830地號,1080723,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,404000,24192,0,040
土地,石螺段1801~1830地號,1080623,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2995650,13612,0,040
土地,石螺段1801~1830地號,1081123,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3861060,17544,0,040
土地,石螺段1801~1830地號,1090723,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7750000,16964,0,040
土地,石螺段1801~1830地號,1090723,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7713300,21175,0,040
土地,石螺段1801~1830地號,1090723,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4659900,21174,0,040
