編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLRKLHGGFAP66DA,27,21.11,共同部份,鋼筋混凝土造,83年8月2日,七層,
RPWNMLRKLHGGFAP66DA,27,18.70,共同部份,鋼筋混凝土造,83年8月2日,七層,
RPQNMLLLLHGGFAP18DA,5,104.25,集合住宅,鋼筋混凝土造,105年6月30日,七層,六層
RPQNMLLLLHGGFAP18DA,5,78.92,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPOOMLLMLHGGFAP18DA,37,139.81,住家用,加強磚造,73年7月1日,二層,一層 二層 騎樓 電梯樓梯間
RPVNMLLJMHGGFAP58DA,39,194.07,住商用,ＲＣ構架造,70年11月10日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPOOMLLJMHGGFAP97DA,,204.63,住宅、樓梯間,鋼筋混凝土造,109年7月24日,三層,一層 二層 三層 屋頂突出物
RPTNMLQJMHGGFAP88DA,7,60.54,住家用,鋼筋混凝土造,103年9月4日,四層,二層
RPTNMLQJMHGGFAP88DA,7,14.64,本共有部分之項目有電梯、樓梯、管委會門廊、梯廳、外廊、機房,鋼筋混凝土造,103年9月4日,四層,
RPOOMLTJLHGGFAP68DA,22,107.10,住家用,鋼筋混凝土造,88年5月31日,三層,一層 二層 三層
RPPNMLTKLHGGFDP09DA,47,83.30,農舍,磚石造,63年8月20日,一層,一層
RPRNMLLJMHGGFEP58DA,40,94.90,住家用,鋼筋混凝土加強磚造,69年12月15日,二層,一層 二層
RPXNMLLJMHGGFCP09EA,6,197.32,騎樓、住宅、停車空間,鋼筋混凝土造,104年4月14日,三層,一層 二層 三層 騎樓 見其他登記事項
RPUNMLKMLHGGFCP78DA,2,228.37,見其他登記事項,鋼筋混凝土造,107年11月26日,三層,一層 二層 三層 騎樓 見其他登記事項
RPPNMLLJMHGGFBP08DA,,182.93,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPTNMLLMLHGGFAP58DA,16,981.27,廠房,鋼骨造,94年5月27日,一層,一層
RPUNMLRJMHGGFCP66DA,2,215.53,住家用,鋼筋混凝土造,107年11月16日,四層,一層 二層 三層 四層
RPPNMLPJMHGGFAP38DA,28,198.74,住商用,鋼筋混凝土造,82年2月3日,四層,一層 二層 三層 四層 電梯樓梯間
RPPNMLTLLHGGFAP88DA,27,92.24,住家用,鋼筋混凝土造,83年8月2日,七層,四層
RPPNMLTLLHGGFAP88DA,27,22.82,共同部份,鋼筋混凝土造,83年8月2日,七層,
RPPNMLTLLHGGFAP88DA,27,20.06,共同部份,鋼筋混凝土造,83年8月2日,七層,
RPRNMLQJMHGGFAP68DA,1,357.19,停車空間、住宅、樓梯間,鋼筋混凝土造,108年10月2日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLQJMHGGFAP48DA,24,97.94,住家用,鋼筋混凝土造,86年2月11日,十三層,二層
RPOOMLQJMHGGFAP48DA,24,29.90,共同部份,鋼筋混凝土造,86年2月11日,十四層,
RPXNMLKMLHGGFAP88DA,41,108.69,住家用,加強磚造,69年8月20日,二層,一層 二層 電梯樓梯間
RPQNMLLMLHGGFAP28DA,46,91.29,住家用,加強磚造,64年6月19日,二層,一層 二層 騎樓
RPOOMLLJMHGGFCP18DA,2,220.22,店舖、住宅、樓梯間,鋼筋混凝土造,108年1月17日,三層,見其他登記事項
