編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPLKHGGFFK68DA,3,30.24,停車空間、蓄水池、受電室、防空避難室、樓梯間、電梯間、機械室、水箱,鋼筋混凝土造,107年6月6日,十五層,
RPQNMLPJLHGGFFK38DA,15,117.81,住家用,ＲＣ造,95年1月3日,四層,一層 二層 三層 四層
RPXNMLQLJHGGFFK56DA,1,41.66,集合住宅,鋼筋混凝土造,108年9月10日,十二層,十二層
RPXNMLQLJHGGFFK56DA,1,41.66,集合住宅,鋼筋混凝土造,108年9月10日,十二層,十二層
RPXNMLQLJHGGFFK56DA,1,27.93,防空避難室間停車空間、汙水雨水機房、電信室、台電配電場所、發電機房、垃圾間、管委會使用空間、車道,鋼筋混凝土造,108年9月10日,十二層,
RPXNMLQLJHGGFFK56DA,1,27.93,防空避難室間停車空間、汙水雨水機房、電信室、台電配電場所、發電機房、垃圾間、管委會使用空間、車道,鋼筋混凝土造,108年9月10日,十二層,
RPXNMLQLJHGGFFK56DA,1,10.14,梯間、機械室、水箱,鋼筋混凝土造,108年9月10日,十二層,
RPXNMLQLJHGGFFK56DA,1,10.14,梯間、機械室、水箱,鋼筋混凝土造,108年9月10日,十二層,
RPPOMLMKLHGGFFK18DA,3,96.23,集合住宅,鋼筋混凝土造,107年6月6日,十五層,九層
RPPOMLMKLHGGFFK18DA,3,16.93,梯&#24304;、樓梯間,鋼筋混凝土造,107年6月6日,十五層,
RPPOMLMKLHGGFFK18DA,3,12.24,停車空間、蓄水池、受電室、防空避難室、樓梯間、電梯間、機械室、水箱,鋼筋混凝土造,107年6月6日,十五層,
RPXNMLMKLHGGFFK88DA,3,92.06,集合住宅,鋼筋混凝土造,107年6月6日,十五層,十三層
RPXNMLMKLHGGFFK88DA,3,16.93,梯&#24304;、樓梯間,鋼筋混凝土造,107年6月6日,十五層,
RPXNMLMKLHGGFFK88DA,3,29.75,停車空間、蓄水池、受電室、防空避難室、樓梯間、電梯間、機械室、水箱,鋼筋混凝土造,107年6月6日,十五層,
RPTQMLQKLHGGFFK56DA,24,25.20,住家用,鋼筋混凝土造,86年6月19日,八層,八層
RPTQMLQKLHGGFFK56DA,24,5.25,樓梯間．走廊,鋼筋混凝土造,86年6月19日,八層,
RPTQMLQKLHGGFFK56DA,24,22.14,門聽，地下室，汽車升降機,鋼筋混凝土造,86年6月19日,八層,
RPPPMLOLLHGGFFK58DA,2,184.97,住家用,鋼筋混凝土造,108年8月1日,四層,一層 二層 三層 四層
RPSQMLSKLHGGFFK66DA,5,96.61,集合住宅,鋼筋混凝土造,105年6月13日,十四層,五層
RPSQMLSKLHGGFFK66DA,5,51.56,管委會、防空避難室兼停車空間、停車空間、樓梯間,鋼筋混凝土造,105年6月13日,十四層,
RPUNMLKMLHGGFDK48EA,28,181.20,住家用,鋼筋混凝土造,81年12月24日,三層,一層 二層 三層
RPTNMLPLLHGGFFK88DA,26,.12,商業用,鋼筋混凝土造,84年3月31日,十三層,地下層
RPTNMLPLLHGGFFK88DA,26,101.07,住家用,鋼筋混凝土造,84年3月31日,十三層,九層
RPTNMLPLLHGGFFK88DA,26,19.16,樓梯，電梯，樓梯間，機械房，水箱,鋼筋混凝土造,84年3月31日,十三層,
RPTNMLPLLHGGFFK88DA,26,18.12,停車空間，防空避難室，樓梯，走道,鋼筋混凝土造,84年3月31日,十三層,
RPTNMLPLLHGGFFK88DA,26,11.43,停車空間，防空避難室，樓梯，走道,鋼筋混凝土造,84年3月31日,十三層,
RPTOMLTLLHGGFFK76DA,8,.96,管委會,ＲＣ造,101年12月12日,十二層,一層
RPTOMLTLLHGGFFK76DA,8,1.15,管委會,ＲＣ造,101年12月12日,十二層,一層
RPTOMLTLLHGGFFK76DA,8,71.77,集合住宅,ＲＣ造,101年12月12日,十二層,七層
RPTOMLTLLHGGFFK76DA,8,.11,防空避難室兼停車空間、機械室、消防機房、水箱、台電受電室、電信室、發電機室。,ＲＣ造,101年12月12日,十二層,
RPTOMLTLLHGGFFK76DA,8,11.45,防空避難室兼停車空間、機械室、消防機房、水箱、台電受電室、電信室、發電機室。,ＲＣ造,101年12月12日,十二層,
RPTOMLTLLHGGFFK76DA,8,41.04,防空避難室兼停車空間、機械室、消防機房、水箱、台電受電室、電信室、發電機室。,ＲＣ造,101年12月12日,十二層,
RPTOMLTLLHGGFFK76DA,8,.22,水箱、電梯機房、梯廳,ＲＣ造,101年12月12日,十二層,
RPTOMLTLLHGGFFK76DA,8,19.20,水箱、電梯機房、梯廳,ＲＣ造,101年12月12日,十二層,
RPOOMLKMLHGGFFK08DA,1,65.57,住家用,鋼筋混凝土造,109年7月31日,七層,五層
RPOOMLKMLHGGFFK08DA,1,13.81,梯廳、樓梯間、升降機間,鋼筋混凝土造,109年7月31日,七層,
RPOOMLKMLHGGFFK08DA,1,53.13,防空避難室兼停車空間、管理委員會使用空間,鋼筋混凝土造,109年7月31日,七層,
RPROMLRKLHGGFDK68DA,6,240.72,住家用、停車空間,鋼筋混凝土造,104年6月29日,四層,一層 二層 三層 四層 屋頂突出物
XPSNMLQJMHGGFFK76DA,28,72.44,住家用,加強磚造,82年6月12日,二層,一層 二層
XPSNMLQJMHGGFFK76DA,28,70.56,住家用,加強磚造,82年6月12日,二層,一層 二層
