交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,大溪段301~330地號,1100102,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7200000,15243,0,006
房地(土地+建物),光復路一段55巷1~30號,1091222,土地4建物1車位0,全,三層,透天厝,0,147.62,4,2,3,有,無,8880000,60154,0,007
房地(土地+建物),光復路一段55巷1~30號,1100322,土地4建物1車位0,全,三層,透天厝,1,147.62,4,2,3,有,無,8880000,60154,0,007
房地(土地+建物),彰化縣溪湖鎮彰化縣溪湖鎮湖西里13鄰二溪路一段329巷1~30號,1081004,土地1建物1車位0,全,二層,透天厝,40,119.32,3,1,2,有,無,3100000,25981,0,008
房地(土地+建物),二溪路一段329巷1~30號,1090604,土地1建物1車位0,全,二層,透天厝,40,119.32,2,2,2,有,無,3760000,31512,0,008
房地(土地+建物),二溪路一段329巷1~30號,1100204,土地1建物1車位0,全,二層,透天厝,41,119.32,2,2,2,有,無,4680000,39222,0,008
土地,三興段631~660地號,1090717,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2948450,7563,0,009
土地,三興段631~660地號,1090817,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7414000,17373,0,009
土地,嘉興段901~930地號,1051010,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3060000,10099,0,010
土地,嘉興段901~930地號,1100310,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3600000,11881,0,010
土地,外竹段691~720地號,1040811,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1200000,1419,0,011
土地,外竹段691~720地號,1040911,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,500000,1478,0,011
土地,外竹段691~720地號,1100311,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,340000,1005,0,011
土地,芳平段481~510地號,1100120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,1238,0,012
土地,芳平段481~510地號,1100320,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5103400,1580,0,012
房地(土地+建物),彰化縣二林鎮大成路一段299巷1~30號,1030301,土地1建物1車位0,全,三層,透天厝,36,107.47,4,2,3,有,無,2600000,24193,0,013
房地(土地+建物),彰化縣二林鎮大成路一段299巷1~30號,1090401,土地1建物1車位0,全,三層,透天厝,42,107.47,3,2,1,有,無,3360000,31265,0,013
房地(土地+建物),大成路一段299巷1~30號,1090601,土地1建物1車位0,全,三層,透天厝,42,107.47,4,2,3,有,無,3580000,33312,0,013
房地(土地+建物),大成路一段299巷1~30號,1100301,土地1建物1車位0,全,三層,透天厝,43,107.47,4,2,3,有,無,3850000,35824,0,013
土地,三豐段751~780地號,1100116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4800000,3077,0,014
土地,三豐段751~780地號,1100316,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5375000,3446,0,014
建物,彰化縣員林市振興里山腳路二段61~90號,1041101,土地0建物1車位0,全,三層,透天厝,1,195.56,3,2,3,有,有,3680000,18818,0,015
房地(土地+建物),山路二段61~90號,1100301,土地2建物1車位0,全,三層,透天厝,6,195.56,4,2,4,有,無,11880000,60749,0,015
房地(土地+建物)+車位,彰化縣員林市溝皂街181~210號,1080109,土地1建物1車位1,九層,十七層,住宅大樓(11層含以上有電梯),0,163.39,3,2,2,有,有,7790000,51190,950000,016
