編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOJMHGGFBQ48DA,14,51.58,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPPNMLOJMHGGFBQ48DA,14,35.66,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLQJMHGGFBQ76DA,49,18.98,住家用,磚造,61年1月31日,一層,一層
RPWNMLQJMHGGFBQ76DA,49,18.98,住家用,磚造,61年1月31日,一層,一層
RPWNMLQJMHGGFBQ76DA,49,18.98,住家用,磚造,61年1月31日,一層,一層
RPQNMLMJMHGGFDQ58DA,8,144.15,住家用,鋼筋混凝土造,102年1月22日,四層,一層 二層 三層 四層
RPSNMLRJMHGGFDQ66DA,38,107.74,住家用,鋼筋混凝土加強磚造,71年11月24日,二層,一層 二層 騎樓
RPPOMLRJMHGGFCQ09EA,27,159.32,住商用,鋼筋混凝土加強磚造,82年10月16日,三層,一層 二層 三層 電梯樓梯間
RPPNMLQJMHGGFCQ88EA,39,115.10,住家用,鋼筋混凝土加強磚造,70年12月11日,二層,一層 二層 電梯樓梯間
RPUNMLRJMHGGFDQ96EA,27,21.52,防空避難室、樓梯間﹝共同使用﹞,鋼筋混凝土造,83年8月19日,七層,
RPUNMLRJMHGGFDQ96EA,27,207.45,店舖、集合住宅、起居室,鋼筋混凝土造,83年8月19日,七層,一層 二層 三層 地下層
