鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
內湖區,房地(土地+建物)+車位,康樂街136巷30弄1~30號,25.29,都市：其他:第三種住宅區。,,,1090725,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,鋼筋混凝土造,1090424,171.34,3,2,2,有,有,25300000,167303,坡道平面,35.06,2500000,,RPVNMLRJKHGGFCA67DA,90.58,0.63,8.15,有,
內湖區,房地(土地+建物)+車位,成功路四段91~120號,35.93,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100125,土地2建物1車位4,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030827,453.44,4,2,3,有,有,85000000,187456,坡道平面,0.0,10000000,其他增建；,RPQPMLOLKHGGFCA27DA,183.85,31.8,6.81,有,005
內湖區,房地(土地+建物)+車位,行善路181巷31~60號,34.21,都市：其他:住宅區。,,,1100305,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071219,150.86,2,2,2,有,有,33800000,224049,其他,25.22,0,,RPXNMLPJLHGGFCA77DA,67.91,3.92,8.88,有,006
內湖區,房地(土地+建物),陽光街68巷102弄1~30號,34.88,都市：其他:道路用地(公共設施用地)。65/4/15,,,1090828,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691220,85.54,3,2,1,有,無,15300000,178864,,0.0,0,陽台外推；頂樓加蓋；,RPXRMLOLLHGGFCA28DA,74.23,0.0,11.31,無,
中山區,房地(土地+建物),松江路85巷1~30號,26.13,都市：其他:第三種住宅區。,,,1100311,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650623,133.82,4,2,2,有,有,42680000,318936,,0.0,0,陽台外推；,RPSNMLPLLHGGFCA47DA,117.31,0.0,6.83,有,007
內湖區,房地(土地+建物)+車位,民權東路六段180巷42弄31~60號,37.88,都市：其他:第三種住宅區。,,,1100220,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911128,137.12,3,2,2,有,有,21200000,154609,坡道機械,0.0,0,陽台外推；其他增建；,RPORMLPLLHGGFCA47DA,70.68,4.11,8.82,有,008
中山區,房地(土地+建物),北安路805巷1~30號,22.58,都市：其他:第三種住宅區。,,,1100309,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790119,106.91,3,2,2,有,無,17700000,165560,,0.0,0,陽台外推；,RPTPMLQLLHGGFCA87DA,97.03,0.0,9.88,無,
內湖區,房地(土地+建物)+車位,民權東路六段210巷21弄1~30號,7.72,都市：其他:第一種商業區。,,,1100318,土地1建物2車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081111,73.2,1,1,1,有,有,18880000,257923,塔式車位,0.0,0,,RPRNMLTLLHGGFCA77DA,24.28,7.96,0.0,有,
內湖區,房地(土地+建物),康寧路三段54巷1~30號,10.8,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位0,五層，電梯樓梯間,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850904,49.46,1,1,1,有,有,10750000,217347,,0.0,0,陽台外推；其他增建；,RPPNMLKMLHGGFCA76DA,34.88,2.86,4.91,有,
內湖區,房地(土地+建物),港華街51巷3弄1~30號,26.85,都市：其他:第三種住宅區。,,,1100224,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701021,105.46,3,2,2,有,無,16800000,159302,,0.0,0,陽台外推；其他增建；,RPTOMLKMLHGGFCA27DA,90.74,0.0,14.72,無,
中山區,車位,植福路286巷1~30號,1.26,都市：其他:娛樂區(供觀光旅館使用)。,,,1100319,土地1建物1車位1,,,其他,,,,37.9,0,0,0,有,有,3400000,,坡道平面,37.9,3400000,僅車位交易；,RPXOMLKMLHGGFCA67DA,0.0,0.0,0.0,有,009
內湖區,車位,內湖路二段253巷1~30號,2.64,都市：其他:第三種住宅區。,,,1100312,土地1建物1車位1,一層,十一層,其他,商業用,鋼筋混凝土造,0971008,37.46,0,0,0,有,有,1930000,,坡道平面,0.0,1930000,僅車位交易；,RPQPMLKMLHGGFCA07DA,0.0,0.0,0.0,有,
內湖區,房地(土地+建物)+車位,成功路五段450巷22弄1~30號,18.85,都市：其他:第三之二種住宅區(依都市計畫說明書圖規定辦理)及第三種住宅區。,,,1100302,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,111.72,3,2,1,有,有,19200000,171858,坡道機械,19.0,0,夾層；,RPVPMLKMLHGGFCA57DA,61.7,0.0,7.05,有,010
內湖區,房地(土地+建物),五分街91~120號,18.72,都市：其他:第三種住宅區。,,,1091202,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960709,84.4,2,2,1,有,有,16500000,195498,,0.0,0,,RPPQMLKMLHGGFCA07DA,55.26,2.21,3.33,有,
南港區,土地,中南段四小段241~270地號,11.17,都市：其他:道路用地(公共設施用地)。61/11/18,,,1100226,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,179051,,0.0,0,未登記建物；,RPXQMLKKLHGGFDA77DA,0.0,0.0,0.0,無,011
南港區,土地,中南段四小段241~270地號,11.17,都市：其他:道路用地(公共設施用地)。61/11/18,,,1100226,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,223814,,0.0,0,未登記建物；,RPORMLKKLHGGFDA96DA,0.0,0.0,0.0,無,011
信義區,土地,永春段三小段511~540地號,2.73,都市：其他:道路用地(公共設施用地) 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,,,1100209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,7326,,0.0,0,包含公共設施保留地用地；,RPROMLPKLHGGFDA47DA,0.0,0.0,0.0,無,
松山區,房地(土地+建物),三民路80巷1~30號,48.36,都市：其他:第三種住宅區。,,,1100304,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930914,224.05,4,2,2,有,有,47000000,209775,,0.0,0,,RPWOMLQLLHGGFDA18DA,116.48,0.0,13.05,有,013
南港區,土地,中南段二小段241~270地號,9.58,都市：其他:道路用地(公共設施用地)。61/11/18,,,1100309,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,198330,,0.0,0,包含公共設施保留地用地；,RPTNMLKMLHGGFDA27DA,0.0,0.0,0.0,無,014
南港區,房地(土地+建物)+車位,松河街751~780號,46.66,都市：其他:住宅區(供住宅使用)。,,,1100205,土地1建物1車位1,一層，見其他登記事項,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981207,189.05,3,2,2,有,有,34280000,181328,坡道平面,0.0,0,陽台外推；夾層；其他增建；,RPWNMLKMLHGGFDA57DA,93.99,0.0,12.21,有,
北投區,房地(土地+建物)+車位,磺港路121~150號,30.53,都市：其他:第三種住宅區。,,,1090806,土地1建物1車位2,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,285.55,4,2,2,有,有,44600000,188328,坡道平面,76.34,5200000,,RPUNMLMKLHGGFEA47DA,115.23,9.81,11.3,有,
北投區,房地(土地+建物),承德路七段342巷1~30號,28.0,都市：其他:第三種住宅區。,,,1100220,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660214,103.18,3,2,1,有,無,16600000,160884,,0.0,0,陽台外推；其他增建；,RPUOMLMKLHGGFEA57DA,97.24,0.0,5.94,無,015
