鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100305,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5500,186,,0.0,0,面樹林採光不好,RPUNMLTJLHGGFFE68CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100304,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5500,186,,0.0,0,面樹林採光不好,RPVNMLTJLHGGFFE78CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100306,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5500,186,,0.0,0,面樹林採光不好,RPXNMLTJLHGGFFE98CC
大社區,建物,高雄市大社區中華路89巷31~60號,0.0,住,,,1100304,土地0建物0車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1070606,25.63,1,0,1,有,無,有,5800,226,,0.0,0,本案為共隔19間分租套房，本次僅出租此間為25.63平方公尺,RPOOMLTJLHGGFIE48CC
鳥松區,土地,松埔段991~1020地號,330.57,農,,,1100224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,91,,0.0,0,含增建或未登記建物。；1.實際承租地坪約100坪.2.承租未保存登記建物約120坪.,RPOPMLKKLHGGFIE77CC
路竹區,土地,復興段751~780地號,13098.24,,一般農業區,農牧用地,1100310,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,5,,0.0,0,,RPQNMLKKLHGGFJE87CC
路竹區,土地,復興段751~780地號,2615.13,,一般農業區,農牧用地,1100310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,8,,0.0,0,,RPRNMLKKLHGGFJE97CC
路竹區,房地(土地+建物),高雄市路竹區新民路181~210號,992.0,工,,,1100223,土地1建物1車位0,見其它登記事項,1,工廠,工業用,鋼造,0860429,158.49,0,0,0,無,無,無,90000,,,0.0,0,含增建或未登記建物。；承租地坪約300坪，承租含未保存登記建物共約250坪,RPVNMLKKLHGGFJE38CC
路竹區,房地(土地+建物),高雄市路竹區大同路511~540號,469.6,工,,,1100226,土地1建物1車位0,見其它登記事項,1,工廠,見使用執照,,0881108,200.16,0,0,0,無,無,無,50000,,,0.0,0,含增建或未登記建物。；承租含未保存登記建物共約130坪,RPWNMLKKLHGGFJE48CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100309,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5800,196,,0.0,0,面馬路採光好,RPUNMLKKLHGGFFE87CC
