交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹縣竹北市光明六路東二段361~390號,1020627,土地1建物1車位2,十五層,二十層,住宅大樓(11層含以上有電梯),0,351.64,3,2,2,有,有,35340000,115633,2100000,050
房地(土地+建物)+車位,光明六路東二段361~390號,1091227,土地1建物1車位2,十五層,二十層,住宅大樓(11層含以上有電梯),8,351.64,3,2,2,有,有,43880000,124787,0,050
房地(土地+建物),新竹縣新埔鎮新龍路181~210號,1020711,土地1建物1車位0,一層,一層,農舍,34,69.84,2,1,1,有,無,2000000,,0,051
房地(土地+建物),新竹縣新埔鎮新龍路181~210號,1040911,土地1建物1車位0,全,一層,透天厝,36,69.84,3,2,1,有,無,6800000,97365,0,051
房地(土地+建物),新龍路181~210號,1100311,土地1建物1車位0,一層,一層,農舍,41,69.84,3,2,2,有,無,8000000,,0,051
房地(土地+建物)+車位,新竹縣竹北市福興東路一段241~270號,1030324,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),0,282.28,4,2,2,有,無,19090000,76047,2600000,052
房地(土地+建物)+車位,福興東路一段241~270號,1100124,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),7,282.28,3,2,2,有,有,28680000,101601,0,052
房地(土地+建物)+車位,新竹縣竹東鎮光明路126巷5弄1~30號,1070322,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),0,182.24,4,2,2,有,有,6630000,36381,900000,053
房地(土地+建物)+車位,光明路126巷5弄1~30號,1100222,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),2,182.24,4,2,2,有,有,8950000,49111,0,053
房地(土地+建物),新竹縣竹東鎮軟橋61~90號,1060327,土地2建物1車位0,全,四層,透天厝,2,214.9,3,2,3,有,無,8580000,39926,0,054
房地(土地+建物),軟橋61~90號,1100227,土地2建物1車位0,全,四層,透天厝,6,214.9,4,2,3,有,無,8580000,39926,0,054
土地,頭重埔段211~240地號,1080825,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1270000,10948,0,055
土地,頭重埔段211~240地號,1090925,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1550000,13362,0,055
土地,頭重埔段211~240地號,1100125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1950000,16810,0,055
房地(土地+建物)+車位,文山路322巷1~30號,1090716,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),0,148.66,3,2,2,有,有,6660000,44800,0,056
房地(土地+建物)+車位,文山路322巷1~30號,1100316,土地1建物1車位2,四層,五層,華廈(10層含以下有電梯),1,148.66,3,2,2,有,無,7500000,50451,0,056
房地(土地+建物),新竹縣湖口鄉龍江街151~180號,1040327,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),32,74.72,2,2,1,有,無,3000000,40150,0,057
房地(土地+建物),新竹縣湖口鄉龍江街151~180號,1051127,土地2建物1車位0,騎樓，一層,四層,公寓(5樓含以下無電梯),34,74.72,3,2,1,有,無,3200000,42827,0,057
房地(土地+建物),新竹縣湖口鄉龍江街151~180號,1071027,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),36,74.72,2,2,1,有,無,3020000,40418,0,057
房地(土地+建物),龍江街151~180號,1100227,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),38,74.72,2,1,1,有,無,3850000,51526,0,057
房地(土地+建物),新竹縣湖口鄉民享街31~60號,1030401,土地1建物1車位0,全,三層,透天厝,22,185.64,14,0,14,有,無,8800000,47404,0,058
房地(土地+建物),民享街31~60號,1100301,土地1建物1車位0,全,三層,透天厝,28,185.64,14,0,14,有,無,10380000,55915,0,058
房地(土地+建物)+車位,新竹縣竹北市六家五路二段271~300號,1080218,土地1建物1車位2,二十二層,二十五層,住宅大樓(11層含以上有電梯),6,292.21000000000004,4,2,2,有,有,20600000,79946,2800000,059
房地(土地+建物)+車位,六家五路二段271~300號,1100118,土地1建物1車位2,二十二層,二十五層,住宅大樓(11層含以上有電梯),8,292.21000000000004,3,2,2,有,有,23000000,78711,0,059
