編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLTLLHGGFBH78DA,20,13.21,停車空間、防空避難室,鋼筋混凝土造,89年10月21日,九層,
RPUOMLTLLHGGFBH78DA,20,9.06,停車空間、防空避難室,鋼筋混凝土造,89年10月21日,九層,
RPQPMLKMLHGGFBH67DA,25,78.45,住家用,鋼筋混凝土造,84年10月6日,六層,三層
RPQPMLKMLHGGFBH67DA,25,15.00,共有部分,鋼筋混凝土造,84年10月6日,六層,
RPPNMLLJMHGGFBH27DA,36,93.48,住商用,鋼筋混凝土造,74年2月5日,五層,一層
RPPNMLLJMHGGFBH27DA,36,6.08,共有部分,鋼筋混凝土造,74年2月5日,五層,
RPPSMLLMLHGGFBH97DA,15,108.86,住家用,鋼筋混凝土造,95年8月29日,十層,九層
RPPSMLLMLHGGFBH97DA,15,.05,管理員室,鋼筋混凝土造,95年8月29日,十層,一層
RPPSMLLMLHGGFBH97DA,15,19.75,共有部分,鋼筋混凝土造,95年8月29日,十層,
RPPSMLLMLHGGFBH97DA,15,24.30,共有部分,鋼筋混凝土造,95年8月29日,十層,
RPPSMLLMLHGGFBH97DA,15,17.97,共有部分,鋼筋混凝土造,95年8月29日,十層,
RPPPMLQJMHGGFBH97DA,16,84.14,住家用,鋼筋混凝土造,94年5月19日,十一層,五層
RPPPMLQJMHGGFBH97DA,16,.00,警衛室,鋼筋混凝土造,94年5月19日,十一層,一層
RPPPMLQJMHGGFBH97DA,16,10.45,共有部分,鋼筋混凝土造,94年5月19日,十一層,
RPPPMLQJMHGGFBH97DA,16,16.73,共有部分,鋼筋混凝土造,94年5月19日,十二層,
RPPPMLQJMHGGFBH97DA,16,12.56,共有部分,鋼筋混凝土造,94年5月19日,十二層,
RPORMLLMLHGGFBH77DA,5,64.13,集合住宅,鋼筋混凝土造,105年8月24日,十五層,三層
RPORMLLMLHGGFBH77DA,5,15.54,本共有部分之項目有：梯間、水箱、機械室、梯廳兼排煙室、排煙室、梯廳等共六項,鋼筋混凝土造,105年8月24日,十五層,
